1||||||||||0||0||2019-07-03 20:36:20||2019-07-03 20:36:20
4403||ace cash express||ACE Cash Express||||https://storage.googleapis.com/dave-images/images-production/merchants/ace-cash-express@3x-20200416.png||841||0||2018-09-19 18:30:09||2018-09-19 18:30:09
4495||acme||ACME||||https://storage.googleapis.com/dave-images/images-production/merchants/acme@3x.png||601||0||2018-09-19 18:30:17||2018-09-19 18:30:17
4500||acorns||Acorns||||https://storage.googleapis.com/dave-images/images-production/merchants/acorns@3x-20200416.png||3500||0||2018-09-19 18:29:42||2018-09-19 18:29:42
4565||advance america||Advance America||||https://storage.googleapis.com/dave-images/images-production/merchants/advance-america@3x-20200416.png||532||0||2018-09-19 18:30:20||2018-09-19 18:30:20
4625||airbnb||Airbnb||||https://storage.googleapis.com/dave-images/images-production/merchants/airbnb@3x-01.png||564||0||2018-09-19 18:30:19||2018-09-19 18:30:19
4672||albertson||Albertson's Grocery||||https://storage.googleapis.com/dave-images/images-production/merchants/albertsons-grocery@3x.png||1817||0||2018-09-19 18:29:53||2018-09-19 18:29:53
4675||aldi||ALDI||||https://storage.googleapis.com/dave-images/images-production/merchants/aldi@3x.png||3440||0||2018-09-19 18:29:42||2018-09-19 18:29:42
4699||aliexpress||ALIEXPRESS||||https://storage.googleapis.com/dave-images/images-production/merchants/aliexpress@3x.png||516||0||2018-09-19 18:30:21||2018-09-19 18:30:21
4725||allstate||Allstate||||https://storage.googleapis.com/dave-images/images-production/merchants/allstate@3x-20200416.png||925||0||2018-09-19 18:30:06||2018-09-19 18:30:06
4778||amazon||Amazon||||https://storage.googleapis.com/dave-images/images-production/merchants/amazon@3x-20200416.png||31513||0||2018-09-19 18:29:34||2018-09-19 18:29:34
4801||american airlines||American Airlines||||https://storage.googleapis.com/dave-images/images-production/merchants/american-airlines@3x.png||628||0||2018-09-19 18:30:15||2018-09-19 18:30:15
